official,ticker,buy_date,profit,sell_date
"Perdue Jr., David A.",AAPL,2016/02/16,53.69,2020/01/10
"Perdue Jr., David A.",AAPL,2016/02/25,47.32,2020/04/16
"Perdue Jr., David A.",AAPL,2016/02/01,46.77,2020/04/14
"Perdue Jr., David A.",EAF,2019/05/23,2.86,2019/09/30
"Perdue Jr., David A.",EAF,2020/03/10,0.81,2020/04/14
"Clark, Katherine M.",BMY,2020/04/03,4.8,2020/10/22
"Malinowski, Tom",PTON,2021/04/21,-14.18,2021/05/11
"Moran, Jerry",RDS-B,2018/12/06,-1.22,2018/12/19
"Yarmuth, John A.",HON,2020/03/31,71.56,2021/03/05
"Lee, Susie",GO,2020/01/30,12.0,2021/01/28
"Perdue Jr., David A.",GPK,2018/12/20,6.19,2020/01/14
"Perdue Jr., David A.",GPK,2019/01/08,1.16,2020/03/27
"Perdue Jr., David A.",GPK,2018/10/30,1.16,2020/03/30
"Perdue Jr., David A.",GPK,2018/10/31,5.38,2020/01/22
"Perdue Jr., David A.",GPK,2018/11/01,5.39,2019/11/14
"Perdue Jr., David A.",GPK,2018/11/05,2.74,2019/09/25
"Perdue Jr., David A.",GPK,2018/11/02,4.94,2020/01/27
"Wittman, Robert J.",V,2020/07/02,13.36,2021/01/13
