ticker,transaction_date,number_of_transactions
XEL,2020/02/20,1
MNST,2020/02/20,1
AVB,2020/02/20,1
BXP,2020/02/20,1
PEG,2020/02/20,1
VNO,2020/02/20,1
FTDR,2020/02/19,1
WAB,2020/02/18,1
CTXS,2020/02/14,1
RPD,2020/02/14,1
FNKO,2020/02/11,1
PRSP,2020/02/11,1
IART,2020/02/10,1
PCTY,2020/02/10,1
PHR,2020/02/10,1
CSGP,2020/02/05,1
MELI,2020/02/05,1
WMGI,2020/02/03,1
KMTUY,2020/01/30,1
COMM,2020/01/30,1
POL,2020/01/29,1
EBSB,2020/01/29,1
OMC,2020/01/29,1
MTSI,2020/01/29,1
PI,2020/01/28,1
FRFHF,2020/01/28,1
REZI,2020/01/27,1
FIVN,2020/01/27,1
PROF,2020/01/27,1
ZUO,2020/01/27,1
LVMUY,2020/01/24,1
GSAH,2020/01/24,1
FUPBY,2020/01/17,1
NSP,2020/01/17,1
